Taxon	Data	Category
Bembidion_ampliatum_3544	2	asat50_reads
ampliatum_DNA3593_LIB0250	2	asat50_reads
ampliatum_DNA4245_LIB0249	1	asat50_reads
ampliatum_DNA4694_LIB0328	2	asat50_reads
ampliatum_DNA5017_LIB0247	1	asat50_reads
ampliatum_DNA5125_LIB0332	1	asat50_reads
ampliatum_DNA5130_LIB0344	1	asat50_reads
breve_DNA3799_LIB0251	2	asat50_reads
breve_DNA4187_LIB0327	2	asat50_reads
breve_DNA4194_LIB0253	2	asat50_reads
breve_DNA4697_LIB0329	2	asat50_reads
breve_DNA4919_LIB0209	1	asat50_reads
breve_DNA5011_LIB0330	2	asat50_reads
breve_DNA5012_LIB0252	2	asat50_reads
geopearlis_DNA4731_LIB0321	2	asat50_reads
geopearlis_DNA5088_LIB0322	1	asat50_reads
laxatum_DNA4149_LIB0248	1	asat50_reads
laxatum_DNA4918_LIB0208	1	asat50_reads
laxatum_DNA5086_LIB0331	1	asat50_reads
laxatum500microgram_DNA4153_LIB0309	1	asat50_reads
lividulum_DNA3486_LIB0323	2	asat50_reads
lividulum_DNA3797_LIB0325	2	asat50_reads
lividulum_DNA3804_LIB0317	2	asat50_reads
lividulum_DNA4165_LIB0245	2	asat50_reads
lividulum_DNA4699_LIB0246	2	asat50_reads
lividulum_DNA5013_LIB0244	2	asat50_reads
lividulum_DNA5019_LIB0342	2	asat50_reads
lividulum_DNA5032_LIB0243	2	asat50_reads
saturatum_DNA3313_LIB0254	4	asat50_reads
saturatum_DNA3467_LIB0204	3	asat50_reads
saturatum_DNA4167_LIB0320	4	asat50_reads
saturatum_DNA5129_LIB0343	4	asat50_reads
saturatumB_DNA3588_LIB0340	6	asat50_reads
saturatumB_DNA4247_LIB0255	6	asat50_reads
testatum_DNA3088_LIB0339	4	asat50_reads
testatum_DNA4157_LIB0319	4	asat50_reads
testatum_DNA4169_LIB0202	4	asat50_reads
testatum_DNA4173_LIB0326	3	asat50_reads
vulcanix_DNA4618_LIB0256	2	asat50_reads
