Taxon	Data	Category								
01_hast_LIB0348	0.0101176	asat1_genprop								
02_gebl_LIB0369	0.016783	asat1_genprop								
03_turb_LIB0345	0.1498998	asat1_genprop								
04_spn.oppSier_LIB0360	0.116169	asat1_genprop								
05_opp_LIB0373	0.10467	asat1_genprop								
06_rustr_LIB0366	0.0371512	asat1_genprop								
07_rustl_LIB0354	0.216912	asat1_genprop								
08_luci_LIB0361	0.1085194	asat1_genprop								
09_spn.luci_LIB0362	0.0733934	asat1_genprop								
10_spn.curtAK_LIB0364	0.0750832	asat1_genprop								
11_basi_LIB0349	0.1262466	asat1_genprop								
12_caro_LIB0412	0.108802	asat1_genprop								
13_decr_LIB0415	0.1358906	asat1_genprop								
14_spn.curtID_LIB0353	0.0835446	asat1_genprop								
15_curt_LIB0418	0.0967214	asat1_genprop								
16_spn.curtBA_LIB0368	0.111285	asat1_genprop								
17_neoc_LIB0416	0.1306678	asat1_genprop								
18_nigr_LIB0417	0.1125492	asat1_genprop								
19_kup1_LIB0352	0.1867818	asat1_genprop								
21_kupr2_LIB0372	0.1093582	asat1_genprop								
21_kupr2AK_LIB0371	0.0906762	asat1_genprop								
22_aerug_LIB0206	0.0861698	asat1_genprop								
22a_B_geopearlis_avg	0.0560673	asat1_genprop								
22b_B_oromaia	0.014525	asat1_genprop								
22c_B_ampliatum_avg	0.1632972	asat1_genprop								
22d_B_laxatum_avg	0.2440578	asat1_genprop								
22e_B_lividulum_avg	0.031890575	asat1_genprop								
22f_B_breve_avg	0.056868114	asat1_genprop								
22g_B_saturatum_avg	0.033546367	asat1_genprop								
22h_B_vulcanix_avg	0.0228322	asat1_genprop								
22i_B_testatum_avg	0.03749255	asat1_genprop								
23_impr_LIB0351	0.009528	asat1_genprop								
24_comp_LIB0350	0.039883	asat1_genprop								
25_spn.comp_LIB0374	0.0185118	asat1_genprop								
26_ross_LIB0367	0.0944578	asat1_genprop								
27_arct_LIB0355	0.0089354	asat1_genprop								
28_quad_LIB0365	0.1634672	asat1_genprop								
29_haru_LIB0347	0.0503158	asat1_genprop								
30_diff_LIB0419	0.0672374	asat1_genprop								
31_mann_LIB0346	0.1032902	asat1_genprop								
32_viat_LIB0358	0.0666224	asat1_genprop								
33_still_LIB0411	0.050486	asat1_genprop								
34_grat_LIB0413	0.131403	asat1_genprop								
35_fals_LIB0370	0.0958156	asat1_genprop								
36_gord_LIB0363	0.2092538	asat1_genprop								
37_plan_LIB0357	0.0127958	asat1_genprop								
38_rufi_LIB0414	0.0382736	asat1_genprop								
39_kalu_LIB0420	0.016919	asat1_genprop								
40_casc_LIB0356	0.18003	asat1_genprop								
41_sier_LIB0359	0.1229652	asat1_genprop								
01_hast_LIB0348	0.314316	bgenprop_sat								
02_gebl_LIB0369	0.0609914	bgenprop_sat								
