Taxon	total_satDNAs	sat50_reads	sat90_reads	genprop_sat	genprop_rep	genprop_rep_minus_sat	genprop_nonrep	sat1_genprop	sat_prop_reps
01_hast_LIB0348	22	5	14	0.314316	0.35	0.035684	0.65	0.0101176	0.898045714
02_gebl_LIB0369	14	2	6	0.0609914	0.44	0.3790086	0.56	0.016783	0.138616818
03_turb_LIB0345	13	2	3	0.3997496	0.46	0.0602504	0.54	0.1498998	0.86902087
04_spn.oppSier_LIB0360	17	1	4	0.1807288	0.49	0.3092712	0.51	0.116169	0.368834286
05_opp_LIB0373	20	1	5	0.1688112	0.47	0.3011888	0.53	0.10467	0.359172766
06_rustr_LIB0366	18	3	7	0.1283824	0.35	0.2216176	0.65	0.0371512	0.366806857
07_rustl_LIB0354	22	2	3	0.4540078	0.5	0.0459922	0.5	0.216912	0.9080156
08_luci_LIB0361	25	3	8	0.4134374	0.47	0.0565626	0.53	0.1085194	0.879654043
09_spn.luci_LIB0362	23	2	7	0.1595982	0.51	0.3504018	0.49	0.0733934	0.312937647
10_spn.curtAK_LIB0364	28	2	5	0.194525	0.28	0.085475	0.72	0.0750832	0.694732143
11_basi_LIB0349	22	2	5	0.408642	0.47	0.061358	0.53	0.1262466	0.869451064
12_caro_LIB0412	22	3	6	0.4641808	0.53	0.0658192	0.47	0.108802	0.87581283
13_decr_LIB0415	19	2	4	0.3997528	0.47	0.0702472	0.53	0.1358906	0.850537872
14_spn.curtID_LIB0353	25	3	6	0.3658736	0.57	0.2041264	0.43	0.0835446	0.641883509
15_curt_LIB0418	35	2	7	0.3082582	0.48	0.1717418	0.52	0.0967214	0.642204583
16_spn.curtBA_LIB0368	22	2	5	0.3312516	0.54	0.2087484	0.46	0.111285	0.613428889
17_neoc_LIB0416	33	3	7	0.4821278	0.7	0.2178722	0.3	0.1306678	0.688754
18_nigr_LIB0417	46	4	13	0.5067352	0.59	0.0832648	0.41	0.1125492	0.85887322
19_kup1_LIB0352	34	2	6	0.386375	0.69	0.303625	0.31	0.1867818	0.559963768
21_kupr2_LIB0372	32	2	13	0.324909	0.38	0.055091	0.62	0.1093582	0.855023684
21_kupr2AK_LIB0371	37	2	7	0.3771826	0.42	0.0428174	0.58	0.0906762	0.89805381
22_aerug_LIB0206	34	2	8	0.272096	0.6	0.327904	0.4	0.0861698	0.453493333
22a_B_geopearlis_avg	23.5	1.5	4.5	0.1272343	0.505	0.3777657	0.495	0.0560673	0.251949109
22b_B_oromaia	22	3	10	0.0561178	0.5	0.4438822	0.5	0.014525	0.1122356
22c_B_ampliatum_avg	38.3	1.4	7.3	0.268587971	0.411428571	0.1428406	0.588571429	0.1632972	0.652817986
22d_B_laxatum_avg	20	1	2	0.27603535	0.365	0.08896465	0.635	0.2440578	0.756261233
22e_B_lividulum_avg	35.3	2	10.3	0.095100275	0.56125	0.466149725	0.43875	0.031890575	0.169443697
22f_B_breve_avg	31.6	1.9	7.4	0.164911486	0.474285714	0.309374229	0.525714286	0.056868114	0.347704941
22g_B_saturatum_avg	45.7	4.5	17.7	0.166871367	0.408333333	0.241461967	0.591666667	0.033546367	0.408664573
22h_B_vulcanix_avg	36.5	2.5	8.5	0.0751977	0.48	0.4048023	0.52	0.0228322	0.156661875
22i_B_testatum_avg	40.8	3.27	8.5	0.1888172	0.5	0.3111828	0.5	0.03749255	0.3776344
23_impr_LIB0351	13	3	9	0.0369504	0.36	0.3230496	0.64	0.009528	0.10264
24_comp_LIB0350	41	2	11	0.1250122	0.5	0.3749878	0.5	0.039883	0.2500244
25_spn.comp_LIB0374	35	4	13	0.0873616	0.35	0.2626384	0.65	0.0185118	0.249604571
26_ross_LIB0367	33	2	7	0.2853104	0.56	0.2746896	0.44	0.0944578	0.509482857
27_arct_LIB0355	7	2	4	0.0327078	0.33	0.2972922	0.67	0.0089354	0.099114545
28_quad_LIB0365	16	2	4	0.4651242	0.5	0.0348758	0.5	0.1634672	0.9302484
29_haru_LIB0347	21	2	5	0.1592662	0.7	0.5407338	0.3	0.0503158	0.227523143
30_diff_LIB0419	22	4	9	0.4011628	0.51	0.1088372	0.49	0.0672374	0.786593725
31_mann_LIB0346	11	2	4	0.2258824	0.57	0.3441176	0.43	0.1032902	0.396284912
32_viat_LIB0358	20	2	6	0.1901922	0.56	0.3698078	0.44	0.0666224	0.339628929
33_still_LIB0411	7	2	4	0.1345362	0.86	0.7254638	0.14	0.050486	0.156437442
34_grat_LIB0413	20	2	5	0.3441144	0.61	0.2658856	0.39	0.131403	0.564121967
35_fals_LIB0370	25	3	8	0.3150588	0.66	0.3449412	0.34	0.0958156	0.477361818
36_gord_LIB0363	23	2	4	0.529907	0.78	0.250093	0.22	0.2092538	0.679367949
37_plan_LIB0357	28	2	10	0.035247	0.66	0.624753	0.34	0.0127958	0.053404545
38_rufi_LIB0414	26	2	9	0.1249912	0.4	0.2750088	0.6	0.0382736	0.312478
39_kalu_LIB0420	21	4	12	0.067313	0.46	0.392687	0.54	0.016919	0.146332609
40_casc_LIB0356	26	2	6	0.3978964	0.64	0.2421036	0.36	0.18003	0.621713125
41_sier_LIB0359	26	2	6	0.3785112	0.52	0.1414888	0.48	0.1229652	0.727906154
