Taxon	Percentage	Category
01_hast_LIB0348	0.314316	genprop_sat
01_hast_LIB0348	0.035684	genprop_rep_minus_sat
01_hast_LIB0348	0.65	genprop_nonrep
02_gebl_LIB0369	0.0609914	genprop_sat
02_gebl_LIB0369	0.3790086	genprop_rep_minus_sat
02_gebl_LIB0369	0.56	genprop_nonrep
03_turb_LIB0345	0.3997496	genprop_sat
03_turb_LIB0345	0.0602504	genprop_rep_minus_sat
03_turb_LIB0345	0.54	genprop_nonrep
04_spn.oppSier_LIB0360	0.1807288	genprop_sat
04_spn.oppSier_LIB0360	0.3092712	genprop_rep_minus_sat
04_spn.oppSier_LIB0360	0.51	genprop_nonrep
05_opp_LIB0373	0.1688112	genprop_sat
05_opp_LIB0373	0.3011888	genprop_rep_minus_sat
05_opp_LIB0373	0.53	genprop_nonrep
06_rustr_LIB0366	0.1283824	genprop_sat
06_rustr_LIB0366	0.2216176	genprop_rep_minus_sat
06_rustr_LIB0366	0.65	genprop_nonrep
07_rustl_LIB0354	0.4540078	genprop_sat
07_rustl_LIB0354	0.0459922	genprop_rep_minus_sat
07_rustl_LIB0354	0.5	genprop_nonrep
08_luci_LIB0361	0.4134374	genprop_sat
08_luci_LIB0361	0.0565626	genprop_rep_minus_sat
08_luci_LIB0361	0.53	genprop_nonrep
09_spn.luci_LIB0362	0.1595982	genprop_sat
09_spn.luci_LIB0362	0.3504018	genprop_rep_minus_sat
09_spn.luci_LIB0362	0.49	genprop_nonrep
10_spn.curtAK_LIB0364	0.194525	genprop_sat
10_spn.curtAK_LIB0364	0.085475	genprop_rep_minus_sat
10_spn.curtAK_LIB0364	0.72	genprop_nonrep
11_basi_LIB0349	0.408642	genprop_sat
11_basi_LIB0349	0.061358	genprop_rep_minus_sat
11_basi_LIB0349	0.53	genprop_nonrep
12_caro_LIB0412	0.4641808	genprop_sat
12_caro_LIB0412	0.0658192	genprop_rep_minus_sat
12_caro_LIB0412	0.47	genprop_nonrep
13_decr_LIB0415	0.3997528	genprop_sat
13_decr_LIB0415	0.0702472	genprop_rep_minus_sat
13_decr_LIB0415	0.53	genprop_nonrep
14_spn.curtID_LIB0353	0.3658736	genprop_sat
14_spn.curtID_LIB0353	0.2041264	genprop_rep_minus_sat
14_spn.curtID_LIB0353	0.43	genprop_nonrep
15_curt_LIB0418	0.3082582	genprop_sat
